ANO,MES,SENADOR,VALOR_REEMBOLSADO,UF,QUOTA,PERCENTAGE
2009,1,GIM ARGELLO,2000.0,,40256.17,4.97
2009,1,HERÁCLITO FORTES,11299.68,PI,40971.77,27.58
2009,1,IDELI SALVATTI,13948.32,SC,39877.78,34.98
2009,1,INÁCIO ARRUDA,7761.98,,40256.17,19.28
2009,1,JARBAS VASCONCELOS,15000.0,,40256.17,37.26
2009,1,JAYME CAMPOS,14391.29,,40256.17,35.75
2009,1,JOSÉ AGRIPINO,15000.0,,40256.17,37.26
2009,1,JOSÉ MARANHÃO,10208.2,,40256.17,25.36
2009,1,JOSÉ NERY,15000.0,,40256.17,37.26
2009,1,JOSÉ SARNEY,3600.0,AP,43374.78,8.3
2009,1,JOÃO DURVAL,12758.939999999999,,40256.17,31.69
2009,1,JOÃO PEDRO,14779.76,,40256.17,36.71
2009,1,JOÃO TENÓRIO,2530.0,,40256.17,6.28
2009,1,JOÃO VICENTE CLAUDINO,13292.71,,40256.17,33.02
2009,1,KÁTIA ABREU,15000.0,TO,39503.61,37.97
2009,1,LEOMAR QUINTANILHA,12288.68,TO,39503.61,31.11
2009,1,LOBÃO FILHO,15000.0,,40256.17,37.26
2009,1,LÚCIA VÂNIA,15000.0,GO,35507.06,42.25
2009,1,MAGNO MALTA,9556.25,ES,37423.91,25.54
2009,1,MARCELO CRIVELLA,11870.58,RJ,35759.97,33.2
2009,1,MARCONI PERILLO,15000.0,,40256.17,37.26
2009,1,MARINA SILVA,15000.0,AC,44632.46,33.61
2009,1,MARISA SERRANO,10377.02,,40256.17,25.78
2009,1,MOZARILDO CAVALCANTI,10679.67,RR,45612.53,23.41
2009,1,MÁRIO COUTO,15000.0,,40256.17,37.26
