NOME,UF
RENATO CASAGRANDE,ES
RICARDO FERREIRA SANTOS,ES
ROBERTO CAMPOS,MT
ROBERTO CAVALCANTI,PB
ROBERTO FREIRE,PE
ROBERTO REQUIÃO,PR
RODOLPHO TOURINHO NETO,BA
ROMERO JUCÁ,RR
ROMEU TUMA,SP
RONALDO CUNHA LIMA,PB
RONAN TITO DE ALMEIDA,MG
ROSEANA SARNEY,MA
RUBENS MOREIRA MENDES FILHO,RO
RUBENS VILAR DE CARVALHO,AL
SANDRA GUIDI,SC
SATURNINO BRAGA,RJ
SEBASTIÃO BALA ROCHA,AP
SÉRGIO CABRAL FILHO,RJ
SÉRGIO GUERRA,PE
SÉRGIO MACHADO,CE
SÉRGIO ZAMBIASI,RS
SERYS SLHESSARENKO,MT
SEVERO GOMES,SP
SIBÁ MACHADO,AC
SÍLVIO NAME,PR
TASSO JEREISSATI,CE
TELMO CAMILO VIEIRA,AC
TEOTÔNIO VILELA FILHO,AL
TIÃO VIANA,AC
VALDIR RAUPP,RO
VALMIR ANTÔNIO AMARAL,DF
VALMIR CAMPELO,DF
VILSON PEDRO KLEINÜBING,SC
VIRGÍLIO TÁVORA,CE
WALDECK ORNELAS,BA
WELLINGTON ROBERTO,PB
WELLINGTON SALGADO DE OLIVEIRA,MG
WILSON BARBOSA MARTINS,MS
ZANETE FERREIRA CARDINAL,MT
